Frequency,Problem,Difficulty,LC_Acceptance
100.0%,Two Sum,Easy,57.1%
77.7%,Add Two Numbers,Medium,48.0%
73.9%,Trapping Rain Water,Hard,66.8%
73.9%,Median of Two Sorted Arrays,Hard,46.0%
73.3%,Longest Common Prefix,Easy,47.1%
72.7%,Palindrome Number,Easy,60.3%
72.7%,Merge Sorted Array,Easy,54.4%
71.9%,Longest Substring Without Repeating Characters,Medium,38.5%
71.8%,Best Time to Buy and Sell Stock,Easy,56.4%
71.8%,3Sum,Medium,38.6%
71.7%,Create Hello World Function,Easy,82.0%
70.6%,Merge Strings Alternately,Easy,82.1%
70.1%,Longest Palindromic Substring,Medium,37.4%
69.1%,Longest Consecutive Sequence,Medium,47.0%
67.5%,Container With Most Water,Medium,59.6%
67.5%,Recyclable and Low Fat Products,Easy,88.7%
66.2%,Valid Parentheses,Easy,43.7%
66.2%,Majority Element,Easy,66.1%
66.1%,Roman to Integer,Easy,66.3%
65.9%,Merge Intervals,Medium,51.2%
65.6%,Number of Islands,Medium,63.8%
65.3%,Maximum Subarray,Medium,53.0%
65.2%,Reverse Integer,Medium,31.5%
65.2%,Remove Duplicates from Sorted Array,Easy,62.3%
64.7%,Subarray Sum Equals K,Medium,46.8%
64.4%,Climbing Stairs,Easy,53.9%
61.4%,Merge Two Sorted Lists,Easy,68.0%
61.4%,Next Permutation,Medium,44.8%
61.0%,Generate Parentheses,Medium,78.3%
60.1%,Spiral Matrix,Medium,56.2%
59.5%,Meeting Rooms II,Medium,52.6%
59.2%,Reverse Linked List,Easy,80.3%
58.9%,Decode String,Medium,62.3%
58.6%,Add Two Integers,Easy,87.9%
58.2%,Koko Eating Bananas,Medium,49.7%
58.2%,Remove Element,Easy,61.4%
58.1%,Search in Rotated Sorted Array,Medium,44.1%
58.1%,Move Zeroes,Easy,63.6%
57.8%,Pascal's Triangle,Easy,78.7%
57.8%,Minimum Number of Increments on Subarrays to Form a Target Array,Hard,78.1%
57.6%,LRU Cache,Medium,46.8%
57.3%,4Sum,Medium,40.0%
57.2%,N-Queens,Hard,75.0%
57.2%,Largest Rectangle in Histogram,Hard,49.4%
57.2%,Single Number,Easy,77.4%
57.0%,Jump Game,Medium,40.5%
57.0%,Letter Combinations of a Phone Number,Medium,65.5%
56.9%,Concatenation of Array,Easy,90.5%
56.9%,Split Array Largest Sum,Hard,59.9%
56.8%,Top K Frequent Elements,Medium,65.9%
56.8%,Find Peak Element,Medium,46.8%
56.2%,Rotate Array,Medium,44.5%
56.1%,Valid Anagram,Easy,67.8%
55.9%,Find the Index of the First Occurrence in a String,Easy,46.3%
55.9%,House Robber,Medium,52.9%
55.6%,Kth Largest Element in an Array,Medium,68.8%
55.5%,Group Anagrams,Medium,72.2%
55.5%,Rotate Image,Medium,79.4%
55.0%,Search Insert Position,Easy,50.7%
55.0%,Plus One,Easy,49.6%
54.9%,Viewers Turned Streamers,Hard,42.7%
54.4%,Logger Rate Limiter,Easy,76.8%
54.1%,Max Consecutive Ones,Easy,64.6%
53.9%,Sort Colors,Medium,69.2%
53.8%,Pow(x n),Medium,38.3%
53.8%,Sliding Window Maximum,Hard,48.5%
53.8%,Happy Number,Easy,59.3%
53.6%,Longest Repeating Character Replacement,Medium,59.1%
53.6%,Product of Array Except Self,Medium,68.6%
53.6%,Single Element in a Sorted Array,Medium,59.2%
53.4%,Add Binary,Easy,57.7%
53.4%,Zigzag Conversion,Medium,53.6%
53.4%,Russian Doll Envelopes,Hard,37.7%
52.9%,Longest Increasing Subsequence,Medium,59.1%
52.8%,Regular Expression Matching,Hard,30.5%
52.6%,Power of Two,Easy,49.9%
52.6%,Number of Visible People in a Queue,Hard,72.4%
52.4%,Set Matrix Zeroes,Medium,62.5%
52.0%,Find Median from Data Stream,Hard,54.2%
52.0%,Find First and Last Position of Element in Sorted Array,Medium,48.4%
51.8%,Maximal Square,Medium,50.0%
51.5%,Course Schedule,Medium,50.8%
51.5%,Subsets,Medium,82.1%
51.3%,Binary Search,Easy,60.5%
51.3%,Valid Palindrome,Easy,52.8%
51.3%,Basic Calculator,Hard,46.6%
51.1%,Remove Nth Node From End of List,Medium,51.0%
51.1%,Contains Duplicate,Easy,64.1%
51.1%,Rotting Oranges,Medium,58.2%
51.1%,Maximal Rectangle,Hard,58.1%
50.9%,Min Stack,Medium,57.7%
50.9%,Intersection of Two Arrays,Easy,77.5%
50.5%,Permutations,Medium,81.7%
50.3%,Sqrt(x),Easy,41.4%
50.3%,Unique Paths,Medium,66.6%
50.1%,Merge k Sorted Lists,Hard,58.9%
49.6%,Maximum Product Subarray,Medium,36.0%
49.4%,Coin Change,Medium,48.0%
49.0%,3Sum Closest,Medium,48.1%
49.0%,Palindrome Linked List,Easy,57.5%
48.8%,Binary Tree Maximum Path Sum,Hard,42.0%
48.5%,First Missing Positive,Hard,42.5%
48.3%,Max Consecutive Ones III,Medium,67.3%
48.1%,Two Sum II - Input Array Is Sorted,Medium,64.6%
47.8%,Reverse Words in a String,Medium,55.6%
47.8%,Fruit Into Baskets,Medium,50.5%
47.8%,Insert Delete GetRandom O(1),Medium,55.3%
47.6%,Middle of the Linked List,Easy,81.6%
47.6%,Sudoku Solver,Hard,65.4%
47.3%,Best Time to Buy and Sell Stock II,Medium,70.8%
47.1%,Find All Numbers Disappeared in an Array,Easy,63.8%
47.1%,Jump Game II,Medium,42.5%
47.1%,The Earliest Moment When Everyone Become Friends,Medium,65.9%
47.1%,Valid Sudoku,Medium,64.2%
47.1%,Linked List Cycle,Easy,53.9%
47.1%,Candy,Hard,48.0%
46.8%,Contains Duplicate II,Easy,50.8%
46.8%,Reverse Nodes in k-Group,Hard,65.4%
46.6%,Partition Equal Subset Sum,Medium,49.2%
46.6%,Daily Temperatures,Medium,68.4%
46.6%,Combination Sum,Medium,76.1%
46.3%,Same Tree,Easy,66.7%
46.3%,Guess the Word,Hard,36.9%
46.0%,Count Primes,Medium,35.8%
46.0%,Edit Distance,Medium,60.2%
46.0%,Separate Squares I,Medium,58.0%
46.0%,Remove K Digits,Medium,36.4%
46.0%,Peak Index in a Mountain Array,Medium,66.9%
45.7%,Length of Last Word,Easy,58.3%
45.7%,Rotate List,Medium,41.2%
45.7%,Insert Interval,Medium,44.8%
45.5%,Reverse Vowels of a String,Easy,60.7%
45.5%,Isomorphic Strings,Easy,48.1%
45.5%,Text Justification,Hard,50.5%
45.5%,Sum of Subarray Minimums,Medium,38.3%
45.2%,Sort an Array,Medium,55.9%
45.2%,Word Break,Medium,49.1%
44.9%,Missing Number,Easy,71.7%
44.9%,Palindrome Partitioning,Medium,73.7%
44.9%,Minimum Area Rectangle,Medium,55.3%
44.6%,Next Greater Element II,Medium,67.9%
44.6%,Find the Duplicate Number,Medium,64.0%
44.6%,Diameter of Binary Tree,Easy,65.1%
44.3%,Subsets II,Medium,60.9%
44.3%,Reverse Pairs,Hard,33.7%
44.3%,Capacity To Ship Packages Within D Days,Medium,73.5%
44.3%,Wildcard Matching,Hard,31.4%
44.3%,Random Pick with Weight,Medium,48.9%
44.0%,Maximum Average Subarray I,Easy,47.1%
43.7%,Check if Array Is Sorted and Rotated,Easy,55.7%
43.4%,Reverse String,Easy,80.6%
43.4%,Surrounded Regions,Medium,44.8%
43.4%,Largest Number,Medium,42.6%
43.4%,Divide Two Integers,Medium,19.4%
43.4%,Range Module,Hard,44.7%
43.0%,String to Integer (atoi),Medium,20.6%
43.0%,String Compression,Medium,59.6%
43.0%,Target Sum,Medium,51.9%
43.0%,Word Search,Medium,46.9%
43.0%,Power of Three,Easy,50.7%
42.7%,Minimum Window Substring,Hard,47.0%
42.7%,Search a 2D Matrix II,Medium,56.9%
42.7%,Move Pieces to Obtain a String,Medium,56.7%
42.7%,Permutation in String,Medium,48.5%
42.7%,Pacific Atlantic Water Flow,Medium,60.6%
42.7%,Squares of a Sorted Array,Easy,73.6%
42.7%,Integer to Roman,Medium,70.5%
42.7%,Finding MK Average,Hard,38.7%
42.4%,Binary Tree Level Order Traversal,Medium,72.2%
42.4%,First Unique Character in a String,Easy,65.1%
42.4%,Search a 2D Matrix,Medium,53.6%
42.4%,Invert Binary Tree,Easy,79.8%
42.4%,Meeting Rooms III,Hard,51.6%
42.0%,Greatest Common Divisor of Strings,Easy,53.4%
42.0%,Find the Difference,Easy,60.1%
41.7%,Number of Provinces,Medium,70.0%
41.7%,Frequency of the Most Frequent Element,Medium,44.6%
41.7%,Word Ladder,Hard,44.9%
41.7%,Lowest Common Ancestor of a Binary Tree,Medium,68.8%
41.3%,Majority Element II,Medium,55.8%
41.3%,Burst Balloons,Hard,63.0%
41.3%,Next Greater Element I,Easy,75.8%
41.3%,Remove Duplicates from Sorted List,Easy,56.3%
41.3%,Delete Nodes And Return Forest,Medium,72.5%
40.9%,Swap Adjacent in LR String,Medium,37.9%
40.9%,Kth Smallest Element in a BST,Medium,76.5%
40.5%,Symmetric Tree,Easy,60.8%
40.5%,Is Subsequence,Easy,48.9%
40.5%,Minimum Size Subarray Sum,Medium,51.1%
40.5%,Maximum Width Ramp,Medium,55.8%
40.2%,Sort List,Medium,63.9%
40.2%,Add Strings,Easy,52.1%
40.2%,Swim in Rising Water,Hard,67.6%
40.2%,Largest Divisible Subset,Medium,49.4%
40.2%,Minimum Number of Days to Make m Bouquets,Medium,56.3%
40.2%,Intersection of Two Linked Lists,Easy,63.2%
39.8%,Odd Even Linked List,Medium,62.3%
39.8%,Remove Duplicates from Sorted Array II,Medium,64.3%
39.8%,Task Scheduler,Medium,62.7%
39.8%,Longest Valid Parentheses,Hard,38.1%
39.8%,First Bad Version,Easy,46.9%
39.8%,Clone Graph,Medium,64.7%
39.8%,24 Game,Hard,59.3%
39.8%,Gas Station,Medium,47.5%
39.8%,Find K Closest Elements,Medium,49.4%
39.8%,Perfect Squares,Medium,56.3%
39.3%,Binary Tree Inorder Traversal,Easy,79.7%
39.3%,Binary Tree Zigzag Level Order Traversal,Medium,63.2%
39.3%,Reverse Linked List II,Medium,51.0%
39.3%,Ransom Note,Easy,65.7%
39.3%,Rotate String,Easy,65.1%
39.3%,Copy List with Random Pointer,Medium,62.4%
39.3%,Summary Ranges,Easy,53.9%
39.3%,Longest Common Subsequence,Medium,58.9%
39.3%,Trapping Rain Water II,Hard,64.0%
38.9%,Reorder List,Medium,64.6%
38.9%,Single Number II,Medium,66.7%
38.5%,Find Minimum in Rotated Sorted Array,Medium,53.8%
38.5%,Implement Stack using Queues,Easy,69.4%
38.5%,Longest Increasing Path in a Matrix,Hard,56.3%
38.5%,Asteroid Collision,Medium,47.2%
38.5%,01 Matrix,Medium,53.4%
38.5%,Serialize and Deserialize Binary Tree,Hard,60.4%
38.5%,Shortest Palindrome,Hard,41.9%
38.0%,Search in Rotated Sorted Array II,Medium,39.8%
38.0%,Swap Nodes in Pairs,Medium,69.0%
38.0%,Can Place Flowers,Easy,29.1%
38.0%,Coin Change II,Medium,60.4%
38.0%,Reorganize String,Medium,56.8%
38.0%,Group Shifted Strings,Medium,67.7%
38.0%,Shortest Path in a Grid with Obstacles Elimination,Hard,46.1%
37.6%,Count Square Submatrices with All Ones,Medium,80.7%
37.6%,Evaluate Division,Medium,64.0%
37.6%,Minimum Area Rectangle II,Medium,55.9%
37.6%,Evaluate Reverse Polish Notation,Medium,57.1%
37.6%,Sum of Two Integers,Medium,55.1%
37.6%,LFU Cache,Hard,48.6%
37.6%,Expression Add Operators,Hard,42.8%
37.1%,Implement Trie (Prefix Tree),Medium,69.2%
37.1%,House Robber II,Medium,44.6%
37.1%,Permutation Sequence,Hard,52.2%
37.1%,Valid Palindrome II,Easy,44.0%
37.1%,Find All Duplicates in an Array,Medium,76.8%
37.1%,Online Stock Span,Medium,68.7%
37.1%,Maximum Depth of Binary Tree,Easy,77.9%
37.1%,Find All Possible Recipes from Given Supplies,Medium,56.8%
37.1%,Number of Islands II,Hard,40.4%
37.1%,Race Car,Hard,44.6%
37.1%,Path With Minimum Effort,Medium,62.8%
37.1%,Odd Even Jump,Hard,41.1%
36.6%,Cheapest Flights Within K Stops,Medium,41.4%
36.6%,Binary Subarrays With Sum,Medium,68.3%
36.6%,Simplify Path,Medium,50.0%
36.6%,Course Schedule II,Medium,55.0%
36.6%,Contiguous Array,Medium,50.8%
36.6%,Alien Dictionary,Hard,37.1%
36.6%,Moving Average from Data Stream,Easy,80.2%
36.6%,Number of Matching Subsequences,Medium,50.6%
36.6%,Word Search II,Hard,38.1%
36.1%,Network Delay Time,Medium,59.8%
36.1%,Assign Cookies,Easy,54.7%
36.1%,Add Digits,Easy,68.6%
36.1%,Implement Queue using Stacks,Easy,69.4%
36.1%,Minimum Path Sum,Medium,67.8%
36.1%,Linked List Cycle II,Medium,57.3%
36.1%,Multiply Strings,Medium,43.6%
36.1%,Redundant Connection,Medium,67.3%
35.6%,Find And Replace in String,Medium,50.9%
35.6%,Construct Binary Tree from Preorder and Inorder Traversal,Medium,68.4%
35.6%,Validate Binary Search Tree,Medium,35.4%
35.6%,H-Index,Medium,41.2%
35.6%,Repeated Substring Pattern,Easy,47.9%
35.6%,Delete Node in a Linked List,Medium,83.6%
35.6%,Accounts Merge,Medium,60.9%
35.6%,Find K Pairs with Smallest Sums,Medium,41.6%
35.6%,Minimum Time to Finish the Race,Hard,43.3%
35.6%,Design Hit Counter,Medium,69.6%
35.6%,Maximum Swap,Medium,51.9%
35.6%,Diagonal Traverse,Medium,67.0%
35.6%,Minimum Number of Operations to Move All Balls to Each Box,Medium,90.1%
35.1%,Min Cost Climbing Stairs,Easy,68.0%
35.1%,Kth Missing Positive Number,Easy,63.2%
35.1%,Substring with Concatenation of All Words,Hard,34.0%
35.1%,Triangle,Medium,59.9%
35.1%,Snapshot Array,Medium,36.7%
35.1%,Vertical Order Traversal of a Binary Tree,Hard,53.3%
35.1%,Domino and Tromino Tiling,Medium,51.4%
34.5%,Set Mismatch,Easy,44.2%
34.5%,Rearrange Array Elements by Sign,Medium,84.5%
34.5%,Best Time to Buy and Sell Stock with Cooldown,Medium,61.7%
34.5%,Combination Sum IV,Medium,55.0%
34.5%,Backspace String Compare,Easy,49.8%
34.5%,Find Eventual Safe States,Medium,70.3%
34.5%,Remove Duplicate Letters,Medium,52.8%
34.5%,Single-Threaded CPU,Medium,47.4%
34.5%,Integer to English Words,Hard,34.8%
34.5%,Detect Squares,Medium,52.3%
33.9%,Bus Routes,Hard,47.1%
33.9%,Balanced Binary Tree,Easy,57.9%
33.9%,Kth Largest Element in a Stream,Easy,60.7%
33.9%,Car Fleet,Medium,54.8%
33.9%,Subarrays with K Different Integers,Hard,67.6%
33.9%,Combination Sum II,Medium,59.0%
33.9%,Exclusive Time of Functions,Medium,66.1%
33.9%,Count of Smaller Numbers After Self,Hard,43.3%
33.9%,Shortest Path in Binary Matrix,Medium,51.1%
33.9%,Number of Closed Islands,Medium,67.0%
33.9%,Nth Digit,Medium,37.3%
33.9%,Sort Characters By Frequency,Medium,75.1%
33.9%,The Skyline Problem,Hard,45.0%
33.9%,Find the Safest Path in a Grid,Medium,48.6%
33.9%,Count Days Without Meetings,Medium,48.1%
33.3%,Binary Tree Right Side View,Medium,69.5%
33.3%,Sequence Reconstruction,Medium,30.5%
33.3%,Maximum Points You Can Obtain from Cards,Medium,57.3%
33.3%,Maximum XOR of Two Numbers in an Array,Medium,53.4%
33.3%,Max Area of Island,Medium,73.8%
33.3%,Binary Tree Paths,Easy,68.2%
33.3%,Shortest Unsorted Continuous Subarray,Medium,38.0%
33.3%,Find Pivot Index,Easy,62.1%
33.3%,Fraction to Recurring Decimal,Medium,30.6%
33.3%,Linked List Random Node,Medium,64.7%
33.3%,Height of Binary Tree After Subtree Removal Queries,Hard,54.9%
33.3%,Continuous Subarrays,Medium,57.9%
32.7%,Sum of Distances in Tree,Hard,65.5%
32.7%,Partition List,Medium,60.6%
32.7%,Count and Say,Medium,62.3%
32.7%,Champagne Tower,Medium,64.1%
32.7%,Find All Anagrams in a String,Medium,53.3%
32.7%,Convert Sorted Array to Binary Search Tree,Easy,75.2%
32.7%,Design a Stack With Increment Operation,Medium,79.9%
32.7%,Unique Length-3 Palindromic Subsequences,Medium,73.8%
32.7%,Remove Linked List Elements,Easy,53.9%
32.7%,Flatten Binary Tree to Linked List,Medium,70.2%
32.7%,Reconstruct Itinerary,Hard,44.3%
32.7%,Minimum Cost to Make at Least One Valid Path in a Grid,Hard,70.9%
32.7%,Detonate the Maximum Bombs,Medium,49.9%
32.7%,Encode and Decode Strings,Medium,51.2%
32.7%,Android Unlock Patterns,Medium,53.7%
32.0%,Excel Sheet Column Title,Easy,45.8%
32.0%,Combinations,Medium,74.2%
32.0%,Partition Array Into Two Arrays to Minimize Sum Difference,Hard,23.0%
32.0%,Range Sum Query - Immutable,Easy,71.4%
32.0%,Longest Palindrome,Easy,55.8%
32.0%,Top K Frequent Words,Medium,60.0%
32.0%,Shortest Path Visiting All Nodes,Hard,65.8%
32.0%,Palindromic Substrings,Medium,72.6%
32.0%,Time Taken to Cross the Door,Hard,50.1%
32.0%,Find Duplicate Subtrees,Medium,60.6%
32.0%,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,Medium,57.4%
31.4%,Flood Fill,Easy,67.9%
31.4%,Recover Binary Search Tree,Medium,58.8%
31.4%,Queue Reconstruction by Height,Medium,74.6%
31.4%,Making A Large Island,Hard,56.3%
31.4%,Unique Paths II,Medium,44.2%
31.4%,Remove Sub-Folders from the Filesystem,Medium,78.6%
31.4%,Word Break II,Hard,55.1%
31.4%,Delete Nodes From Linked List Present in Array,Medium,69.5%
31.4%,Graph Valid Tree,Medium,49.8%
31.4%,Count Numbers with Unique Digits,Medium,55.4%
31.4%,Repeated String Match,Medium,38.4%
31.4%,Predict the Winner,Medium,56.1%
31.4%,Keys and Rooms,Medium,75.5%
30.7%,Number of 1 Bits,Easy,76.4%
30.7%,Minimum Falling Path Sum,Medium,60.8%
30.7%,Find in Mountain Array,Hard,41.2%
30.7%,House Robber III,Medium,55.6%
30.7%,Delete Node in a BST,Medium,54.2%
30.7%,Decode Ways,Medium,37.6%
30.7%,Increasing Triplet Subsequence,Medium,39.2%
30.7%,Regions Cut By Slashes,Medium,77.5%
30.7%,Maximum Number of Events That Can Be Attended,Medium,38.9%
30.7%,Binary Tree Vertical Order Traversal,Medium,57.8%
30.7%,Flatten Nested List Iterator,Medium,65.6%
30.7%,New 21 Game,Medium,52.0%
30.7%,Longest Arithmetic Subsequence of Given Difference,Medium,54.3%
30.7%,Minimum Interval to Include Each Query,Hard,54.0%
30.7%,Maximum Sum of 3 Non-Overlapping Subarrays,Hard,59.7%
30.7%,Longest Absolute File Path,Medium,49.2%
30.7%,Sliding Window Median,Hard,38.9%
29.9%,Range Sum Query 2D - Immutable,Medium,57.9%
29.9%,Path Sum III,Medium,46.3%
29.9%,Valid Parenthesis String,Medium,39.8%
29.9%,Subarray Sums Divisible by K,Medium,56.1%
29.9%,Minimum Add to Make Parentheses Valid,Medium,74.4%
29.9%,Maximum Level Sum of a Binary Tree,Medium,70.0%
29.9%,Non-overlapping Intervals,Medium,56.7%
29.9%,Snakes and Ladders,Medium,48.0%
29.9%,Binary Search Tree Iterator,Medium,76.2%
29.9%,Minimum Absolute Difference in BST,Easy,59.2%
29.9%,K-th Smallest in Lexicographical Order,Hard,46.2%
29.9%,Best Time to Buy and Sell Stock III,Hard,53.2%
29.9%,K Closest Points to Origin,Medium,68.8%
29.9%,Robot Room Cleaner,Hard,77.9%
29.9%,My Calendar I,Medium,58.2%
29.9%,Minimum Domino Rotations For Equal Row,Medium,56.5%
29.9%,Design a Text Editor,Hard,50.1%
29.9%,Max Chunks To Make Sorted,Medium,64.1%
29.1%,Delete the Middle Node of a Linked List,Medium,59.5%
29.1%,Word Ladder II,Hard,27.5%
29.1%,Basic Calculator II,Medium,46.7%
29.1%,Intersection of Two Arrays II,Easy,59.7%
29.1%,Longest Duplicate Substring,Hard,31.1%
29.1%,Remove Duplicates from Sorted List II,Medium,51.3%
29.1%,Minimum Operations to Reduce X to Zero,Medium,40.4%
29.1%,All Nodes Distance K in Binary Tree,Medium,67.4%
