Rank,Problem,LeetCode #,Difficulty,Acceptance %,Frequency %,Tier,Primary Topic
1,Minimum Remove to Make Valid Parentheses,1249,Medium,71.3,100.0,S,String/Stack
2,Valid Word Abbreviation,408,Easy,37.0,95.4,S,Two Pointers/String
3,Binary Tree Vertical Order Traversal,314,Medium,57.8,93.4,S,Tree/BFS
4,Valid Palindrome II,680,Easy,44.0,92.7,S,Two Pointers/String
5,Lowest Common Ancestor of a Binary Tree III,1650,Medium,82.9,89.6,S,Tree/Hash Table
6,Merge Sorted Array,88,Easy,54.4,88.1,S,Array/Two Pointers
7,Kth Largest Element in an Array,215,Medium,68.8,86.9,S,Array/Heap/Quickselect
8,"Pow(x, n)",50,Medium,38.3,86.9,S,Math/Recursion
9,Binary Tree Right Side View,199,Medium,69.5,86.0,S,Tree/BFS/DFS
10,Simplify Path,71,Medium,50.0,85.9,S,String/Stack
11,Merge Intervals,56,Medium,51.2,84.8,S,Array/Sorting
12,Basic Calculator II,227,Medium,46.7,84.0,S,Math/String/Stack
13,Two Sum,1,Easy,57.1,83.8,S,Array/Hash Table
14,Lowest Common Ancestor of a Binary Tree,236,Medium,68.8,82.9,S,Tree/DFS
15,Find Peak Element,162,Medium,46.8,82.9,S,Array/Binary Search
16,Nested List Weight Sum,339,Medium,85.9,81.7,S,DFS/BFS
17,Random Pick with Weight,528,Medium,48.9,80.5,S,Binary Search/Prefix Sum
18,Sum Root to Leaf Numbers,129,Medium,69.6,80.5,S,Tree/DFS
19,Diameter of Binary Tree,543,Easy,65.1,79.2,S,Tree/DFS
20,Next Permutation,31,Medium,44.8,78.3,S,Array/Two Pointers
21,Top K Frequent Elements,347,Medium,65.9,77.9,S,Hash Table/Heap/Bucket Sort
22,Merge k Sorted Lists,23,Hard,58.9,77.2,S,Linked List/Heap/Divide&Conquer
23,3Sum,15,Medium,38.6,76.7,S,Array/Two Pointers/Sorting
24,Best Time to Buy and Sell Stock,121,Easy,56.4,76.4,S,Array/DP
25,Buildings With an Ocean View,1762,Medium,80.9,74.9,S,Array/Stack/Monotonic Stack
26,Custom Sort String,791,Medium,72.3,73.2,S,Hash Table/String/Sorting
27,Find First and Last Position of Element in Sorted Array,34,Medium,48.4,72.1,S,Array/Binary Search
28,K Closest Points to Origin,973,Medium,68.8,71.4,S,Array/Heap/Quickselect
29,Clone Graph,133,Medium,64.7,71.4,S,Graph/DFS/BFS/Hash Table
30,Subarray Sum Equals K,560,Medium,46.8,71.4,S,Array/Hash Table/Prefix Sum
31,Valid Parentheses,20,Easy,43.7,71.1,S,String/Stack
32,Valid Number,65,Hard,22.6,70.2,S,String
33,Range Sum of BST,938,Easy,87.6,69.5,S,Tree/BST/DFS
34,Dot Product of Two Sparse Vectors,1570,Medium,89.9,69.5,S,Array/Hash Table/Two Pointers
35,Valid Palindrome,125,Easy,52.8,69.5,S,Two Pointers/String
36,Minimum Window Substring,76,Hard,47.0,68.6,S,Hash Table/String/Sliding Window
37,Shortest Path in Binary Matrix,1091,Medium,51.1,67.4,S,Array/BFS/Matrix
38,Copy List with Random Pointer,138,Medium,62.4,67.4,S,Hash Table/Linked List
39,Longest Common Prefix,14,Easy,47.1,66.7,S,String/Trie
40,Add Two Numbers,2,Medium,48.0,65.1,S,Linked List/Math/Recursion
41,Sliding Window Median,480,Hard,38.9,65.0,S,Array/Heap/Sliding Window
42,Making A Large Island,827,Hard,56.3,65.0,S,Array/DFS/BFS/Union Find
43,Subsets,78,Medium,82.1,64.1,S,Array/Backtracking/Bit Manipulation
44,Letter Combinations of a Phone Number,17,Medium,65.5,64.1,S,Hash Table/String/Backtracking
45,Remove Nth Node From End of List,19,Medium,51.0,63.6,S,Linked List/Two Pointers
46,Longest Substring Without Repeating Characters,3,Medium,38.5,63.1,S,Hash Table/String/Sliding Window
47,Accounts Merge,721,Medium,60.9,62.4,S,Array/Union Find/DFS
48,LRU Cache,146,Medium,46.8,62.4,S,Hash Table/Linked List/Design
49,Max Consecutive Ones III,1004,Medium,67.3,62.4,S,Array/Binary Search/Sliding Window
50,Trapping Rain Water,42,Hard,66.8,60.6,A,Array/Two Pointers/Stack/DP
51,String to Integer (atoi),8,Medium,20.6,59.7,A,String
52,Kth Missing Positive Number,1539,Easy,63.2,59.4,A,Array/Binary Search
53,Squares of a Sorted Array,977,Easy,73.6,59.4,A,Array/Two Pointers/Sorting
54,Longest Palindromic Substring,5,Medium,37.4,59.0,A,Two Pointers/String/DP
55,Remove Duplicates from Sorted Array,26,Easy,62.3,59.0,A,Array/Two Pointers
56,Median of Two Sorted Arrays,4,Hard,46.0,58.2,A,Array/Binary Search/Divide&Conquer
57,Palindrome Number,9,Easy,60.3,57.0,A,Math
58,Search in Rotated Sorted Array,33,Medium,44.1,57.0,A,Array/Binary Search
59,Roman to Integer,13,Easy,66.3,56.3,A,Hash Table/Math/String
60,Diagonal Traverse,498,Medium,67.0,56.0,A,Array/Matrix/Simulation
61,Missing Ranges,163,Easy,35.5,56.0,A,Array
62,Moving Average from Data Stream,346,Easy,80.2,56.0,A,Array/Design/Queue
63,Exclusive Time of Functions,636,Medium,66.1,56.0,A,Array/Stack
64,Merge Two Sorted Lists,21,Easy,68.0,53.9,A,Linked List/Recursion
65,Group Anagrams,49,Medium,72.2,53.6,A,Array/Hash Table/String/Sorting
66,Count and Say,38,Medium,62.3,53.4,A,String
67,Climbing Stairs,70,Easy,53.9,52.8,A,Math/DP/Memoization
68,Maximum Subarray,53,Medium,53.0,52.1,A,Array/Divide&Conquer/DP
69,Add Strings,415,Easy,52.1,51.9,A,Math/String/Simulation
70,Binary Search Tree Iterator,173,Medium,76.2,51.9,A,Stack/Tree/BST/Design
71,Minimum Add to Make Parentheses Valid,921,Medium,74.4,51.9,A,String/Stack/Greedy
72,Robot Room Cleaner,489,Hard,77.9,51.9,A,Backtracking/Interactive
73,Container With Most Water,11,Medium,59.6,51.8,A,Array/Two Pointers/Greedy
74,Sort Colors,75,Medium,69.2,51.2,A,Array/Two Pointers/Sorting
75,Set Matrix Zeroes,73,Medium,62.5,51.2,A,Array/Hash Table/Matrix
76,Add Binary,67,Easy,57.7,50.8,A,Math/String/Bit Manipulation
77,Multiply Strings,43,Medium,43.6,50.1,A,Math/String/Simulation
78,Reverse Integer,7,Medium,31.5,49.4,A,Math
79,Word Search,79,Medium,46.9,48.3,A,Array/String/Backtracking/Matrix
80,Generate Parentheses,22,Medium,78.3,47.5,A,String/DP/Backtracking
81,Plus One,66,Easy,49.6,47.5,A,Array/Math
82,Rotate Image,48,Medium,79.4,47.1,A,Array/Math/Matrix
83,Remove Invalid Parentheses,301,Hard,49.8,47.0,A,String/Backtracking/BFS
84,Palindromic Substrings,647,Medium,72.6,47.0,A,Two Pointers/String/DP
85,Continuous Subarray Sum,523,Medium,31.2,47.0,A,Array/Hash Table/Prefix Sum
86,Closest Binary Search Tree Value,270,Easy,49.3,47.0,A,Tree/BST/DFS/Binary Search
87,Vertical Order Traversal of a Binary Tree,987,Hard,53.3,47.0,A,Tree/DFS/BFS/Hash Table
88,Group Shifted Strings,249,Medium,67.7,47.0,A,Array/Hash Table/String
89,Course Schedule,207,Medium,50.8,47.0,A,Graph/DFS/BFS/Topological Sort
90,Insert into a Sorted Circular Linked List,708,Medium,38.5,47.0,A,Linked List
91,All Nodes Distance K in Binary Tree,863,Medium,67.4,47.0,A,Tree/DFS/BFS/Hash Table
92,Convert Binary Search Tree to Sorted Doubly Linked List,426,Medium,65.6,47.0,A,Linked List/Stack/Tree/BST/DFS
93,Spiral Matrix,54,Medium,56.2,46.6,A,Array/Matrix/Simulation
94,Regular Expression Matching,10,Hard,30.5,46.2,A,String/DP/Recursion
95,Majority Element,169,Easy,66.1,46.0,A,Array/Hash Table/Divide&Conquer
96,Insert Interval,57,Medium,44.8,45.3,A,Array
97,Expression Add Operators,282,Hard,42.8,45.2,A,Math/String/Backtracking
98,Find the Index of the First Occurrence in a String,28,Easy,46.3,44.8,A,Two Pointers/String/String Matching
99,Sqrt(x),69,Easy,41.4,44.3,A,Math/Binary Search
100,Search a 2D Matrix,74,Medium,53.6,43.3,A,Array/Binary Search/Matrix
101,Binary Tree Zigzag Level Order Traversal,103,Medium,63.2,43.3,A,Tree/BFS/Binary Tree
102,Divide Two Integers,29,Medium,19.4,43.3,A,Math/Bit Manipulation
103,Number of Islands,200,Medium,63.8,43.1,A,Array/DFS/BFS/Union Find/Matrix
104,Largest Rectangle in Histogram,84,Hard,49.4,42.7,A,Array/Stack/Monotonic Stack
105,Binary Tree Level Order Traversal,102,Medium,72.2,42.7,A,Tree/BFS/Binary Tree
106,Unique Paths,62,Medium,66.6,42.2,A,Math/DP/Combinatorics
107,Remove Duplicates from Sorted Array II,80,Medium,64.3,42.2,A,Array/Two Pointers
108,Remove Element,27,Easy,61.4,41.6,A,Array/Two Pointers
109,Jump Game,55,Medium,40.5,41.6,A,Array/DP/Greedy
110,Text Justification,68,Hard,50.5,41.0,A,Array/String/Simulation
111,Validate Binary Search Tree,98,Medium,35.4,41.0,A,Tree/DFS/BST
112,Product of Two Run-Length Encoded Arrays,1868,Medium,59.6,40.9,A,Array/Two Pointers
113,Contains Duplicate II,219,Easy,50.8,40.7,A,Array/Hash Table/Sliding Window
114,Zero Array Transformation III,3362,Medium,54.9,40.7,A,Array/Greedy/Sorting/Heap
115,Swim in Rising Water,778,Hard,67.6,40.7,A,Array/Binary Search/DFS/BFS/Union Find/Heap
116,Managers with at Least 5 Direct Reports,570,Medium,48.9,40.7,A,Database
117,Maximum Swap,670,Medium,51.9,40.7,A,Math/Greedy
118,Cutting Ribbons,1891,Medium,53.0,40.7,A,Array/Binary Search
119,Word Break,139,Medium,49.1,40.7,A,Hash Table/String/DP/Trie
120,Binary Tree Maximum Path Sum,124,Hard,42.0,40.7,A,Tree/DFS/DP
121,Car Pooling,1094,Medium,56.2,40.7,A,Array/Prefix Sum/Heap
122,Strobogrammatic Number,246,Easy,47.5,40.7,A,Hash Table/Two Pointers/String
123,Capacity To Ship Packages Within D Days,1011,Medium,73.5,40.7,A,Array/Binary Search
124,Word Ladder,127,Hard,44.9,40.7,A,Hash Table/String/BFS
125,Find Median from Data Stream,295,Hard,54.2,40.7,A,Two Pointers/Design/Sorting/Heap
126,Valid Palindrome III,1216,Hard,49.1,40.7,A,String/DP
127,Kth Smallest Element in a Sorted Matrix,378,Medium,64.4,40.7,A,Array/Binary Search/Matrix/Heap
128,3Sum Closest,16,Medium,48.1,40.4,A,Array/Two Pointers/Sorting
129,Best Time to Buy and Sell Stock II,122,Medium,70.8,39.8,B,Array/DP/Greedy
130,Combination Sum,39,Medium,76.1,39.8,B,Array/Backtracking
131,Decode Ways,91,Medium,37.6,39.8,B,String/DP
132,Two Sum II - Input Array Is Sorted,167,Medium,64.6,39.6,B,Array/Two Pointers/Binary Search
133,Populating Next Right Pointers in Each Node,116,Medium,66.9,39.6,B,Linked List/Tree/BFS/DFS
134,Rotate Array,189,Medium,44.5,39.6,B,Array/Math/Two Pointers
135,Create Hello World Function,2667,Easy,82.0,38.3,B,JavaScript
136,Lowest Common Ancestor of a Binary Search Tree,235,Medium,70.1,38.3,B,Tree/DFS/BST
137,Merge Strings Alternately,1768,Easy,82.1,38.3,B,Two Pointers/String
138,Longest Consecutive Sequence,128,Medium,47.0,38.0,B,Array/Hash Table/Union Find
139,4Sum,18,Medium,40.0,37.0,B,Array/Two Pointers/Sorting
140,Valid Sudoku,36,Medium,64.2,37.0,B,Array/Hash Table/Matrix
141,Subsets II,90,Medium,60.9,37.0,B,Array/Backtracking/Bit Manipulation
142,Maximal Rectangle,85,Hard,58.1,37.0,B,Array/DP/Stack/Matrix
143,Word Break II,140,Hard,55.1,36.3,B,Hash Table/String/DP/Backtracking/Trie
144,Permutations,46,Medium,81.7,36.2,B,Array/Backtracking
145,Zigzag Conversion,6,Medium,53.6,36.2,B,String
146,Reverse Nodes in k-Group,25,Hard,65.4,36.2,B,Linked List/Recursion
147,Recyclable and Low Fat Products,1757,Easy,88.7,35.4,B,Database
148,Design Tic-Tac-Toe,348,Medium,58.7,35.4,B,Array/Hash Table/Design/Matrix
149,Alien Dictionary,269,Hard,37.1,35.4,B,Array/String/Graph/Topological Sort
150,Shortest Distance from All Buildings,317,Hard,44.9,35.4,B,Array/BFS/Matrix
151,Meeting Rooms II,253,Medium,52.6,35.4,B,Array/Two Pointers/Greedy/Sorting/Heap
152,Product of Array Except Self,238,Medium,68.6,35.4,B,Array/Prefix Sum
153,Move Zeroes,283,Easy,63.6,35.4,B,Array/Two Pointers
154,Find K Closest Elements,658,Medium,49.4,35.4,B,Array/Two Pointers/Binary Search/Heap
155,First Missing Positive,41,Hard,42.5,35.4,B,Array/Hash Table
156,Wildcard Matching,44,Hard,31.4,35.4,B,String/DP/Greedy/Recursion
157,Combination Sum II,40,Medium,59.0,34.5,B,Array/Backtracking
158,Unique Paths II,63,Medium,44.2,34.5,B,Array/DP/Matrix
159,Minimum Depth of Binary Tree,111,Easy,52.4,34.5,B,Tree/DFS/BFS
160,Binary Tree Inorder Traversal,94,Easy,79.7,34.5,B,Stack/Tree/DFS
161,Jump Game II,45,Medium,42.5,33.6,B,Array/DP/Greedy
162,N-Queens,51,Hard,75.0,33.6,B,Array/Backtracking
163,Search Insert Position,35,Easy,50.7,33.6,B,Array/Binary Search
164,Construct Binary Tree from Preorder and Inorder Traversal,105,Medium,68.4,33.6,B,Array/Hash Table/Divide&Conquer/Tree
165,Rotate List,61,Medium,41.2,32.6,B,Linked List/Two Pointers
166,Search in Rotated Sorted Array II,81,Medium,39.8,32.6,B,Array/Binary Search
167,Reverse Linked List,206,Easy,80.3,32.3,B,Linked List/Recursion
168,Add Two Integers,2235,Easy,87.9,32.0,B,Math
169,Shortest Path in a Hidden Grid,1778,Medium,44.5,32.0,B,Array/DFS/BFS/Interactive
170,Interval List Intersections,986,Medium,72.9,32.0,B,Array/Two Pointers
171,Range Sum Query - Immutable,303,Easy,71.4,32.0,B,Array/Design/Prefix Sum
172,Frequency of the Most Frequent Element,1838,Medium,44.6,32.0,B,Array/Binary Search/Greedy/Sliding Window/Sorting
173,Random Pick Index,398,Medium,65.0,32.0,B,Hash Table/Math/Reservoir Sampling/Randomized
174,Kth Smallest Element in a BST,230,Medium,76.5,32.0,B,Tree/DFS/BST
175,Decode String,394,Medium,62.3,32.0,B,String/Stack/Recursion
176,Koko Eating Bananas,875,Medium,49.7,32.0,B,Array/Binary Search
177,Goat Latin,824,Easy,69.9,32.0,B,String
178,Remove All Adjacent Duplicates in String II,1209,Medium,60.9,32.0,B,String/Stack
179,Best Time to Buy and Sell Stock III,123,Hard,53.2,32.0,B,Array/DP
180,Toeplitz Matrix,766,Easy,69.7,32.0,B,Array/Matrix
181,Edit Distance,72,Medium,60.2,31.6,B,String/DP
182,Maximum Depth of Binary Tree,104,Easy,77.9,31.6,B,Tree/DFS/BFS
183,Reverse Linked List II,92,Medium,51.0,31.6,B,Linked List
184,Length of Last Word,58,Easy,58.3,31.6,B,String
185,Sudoku Solver,37,Hard,65.4,30.6,B,Array/Backtracking/Matrix
186,Symmetric Tree,101,Easy,60.8,30.6,B,Tree/DFS/BFS
187,Minimum Size Subarray Sum,209,Medium,51.1,29.9,C,Array/Binary Search/Sliding Window/Prefix Sum
188,Course Schedule II,210,Medium,55.0,29.9,C,Graph/DFS/BFS/Topological Sort
189,Max Points on a Line,149,Hard,30.3,29.9,C,Array/Hash Table/Math/Geometry
190,Reverse Words in a String,151,Medium,55.6,29.9,C,Two Pointers/String
191,Pascal's Triangle,118,Easy,78.7,27.9,C,Array/DP
192,Restore IP Addresses,93,Medium,55.3,26.9,C,String/Backtracking
193,Longest Valid Parentheses,32,Hard,38.1,26.9,C,String/DP/Stack
194,Convert Sorted List to Binary Search Tree,109,Medium,66.0,26.9,C,Linked List/Divide&Conquer/Tree/BST
195,Swap Nodes in Pairs,24,Medium,69.0,25.5,C,Linked List/Recursion
196,Same Tree,100,Easy,66.7,25.5,C,Tree/DFS/BFS
197,Integer to Roman,12,Medium,70.5,25.5,C,Hash Table/Math/String
198,Path Sum,112,Easy,54.5,24.9,C,Tree/DFS/BFS
199,House Robber,198,Medium,52.9,24.1,C,Array/DP
200,Palindrome Partitioning,131,Medium,73.7,24.1,C,String/DP/Backtracking
201,Find Minimum in Rotated Sorted Array,153,Medium,53.8,24.1,C,Array/Binary Search
202,Single Number,136,Easy,77.4,24.1,C,Array/Bit Manipulation
203,Contains Duplicate,217,Easy,64.1,24.1,C,Array/Hash Table/Sorting
204,Combinations,77,Medium,74.2,24.0,C,Backtracking
205,Convert Sorted Array to Binary Search Tree,108,Easy,75.2,22.3,C,Array/Divide&Conquer/Tree/BST
206,Balanced Binary Tree,110,Easy,57.9,22.3,C,Tree/DFS/Binary Tree
207,Minimum Path Sum,64,Medium,67.8,22.3,C,Array/DP/Matrix
208,Path Sum II,113,Medium,61.8,20.3,C,Backtracking/Tree/DFS
209,Permutations II,47,Medium,63.0,18.4,C,Array/Backtracking/Sorting
210,Substring with Concatenation of All Words,30,Hard,34.0,16.1,C,Hash Table/String/Sliding Window
211,Unique Binary Search Trees II,95,Medium,62.0,16.1,C,DP/Tree/BST/Backtracking
212,Flatten Binary Tree to Linked List,114,Medium,70.2,15.8,C,Linked List/Stack/Tree/DFS
213,Word Search II,212,Hard,38.1,15.8,C,Array/String/Backtracking/Trie/Matrix
214,Pascal's Triangle II,119,Easy,67.1,14.1,C,Array/DP
215,Spiral Matrix II,59,Medium,74.7,13.6,C,Array/Matrix/Simulation
216,Evaluate Reverse Polish Notation,150,Medium,57.1,10.2,C,Array/Math/Stack
217,Binary Tree Level Order Traversal II,107,Medium,67.7,7.5,C,Tree/BFS/Binary Tree
